CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
29.37,3.99,298.2,1.817,3517.181
29.41,3.97,298.4,1.8103333333333333,3510.8693333333335
29.41,3.84,299.3,1.8036666666666665,3504.5576666666666
29.54,3.92,300.1,1.797,3498.246
29.57,3.85,300.9,1.7913333333333332,3503.9590000000003
29.61,3.32,302.3,1.7856666666666667,3509.672
29.55,3.23,304.1,1.78,3515.385
29.61,2.98,306.9,1.7656666666666667,3500.3493333333336
29.61,2.6,308.4,1.7513333333333334,3485.3136666666664
29.75,2.47,309.5,1.737,3470.278
29.78,2.44,310.9,1.7323333333333335,3478.086333333333
29.81,1.98,312.4,1.7276666666666667,3485.8946666666666
29.84,1.45,314.1,1.723,3493.703
29.84,2.54,316.5,1.7236666666666667,3513.4756666666667
29.84,2.02,318.3,1.7243333333333335,3533.2483333333334
29.81,1.49,319.9,1.725,3553.021
29.84,1.98,322.2,1.7276666666666667,3575.764666666667
29.84,1.73,324.3,1.7303333333333335,3598.508333333333
29.92,1.17,325.6,1.733,3621.252
29.94,2.0,327.6,1.736,3644.931
29.98,1.88,329.5,1.739,3668.61
29.98,2.26,331.1,1.742,3692.289
29.98,2.61,333.4,1.7433333333333334,3714.241666666667
30.01,2.33,335.5,1.7446666666666666,3736.1943333333334
30.04,2.15,337.5,1.746,3758.147
30.11,2.37,340.1,1.74,3769.4809999999998
30.17,2.85,343.1,1.734,3780.815
30.21,2.78,345.5,1.728,3792.149
30.24,2.36,347.5,1.7273333333333334,3807.691333333333
30.21,2.68,349.3,1.7266666666666666,3823.2336666666665
30.22,2.71,350.8,1.726,3838.776
30.28,2.93,352.8,1.7176666666666667,3842.991
30.42,2.9,354.9,1.7093333333333334,3847.2059999999997
30.38,2.9,357.2,1.701,3851.421
30.38,2.94,359.8,1.6973333333333334,3865.441333333333
30.38,2.93,362.7,1.6936666666666667,3879.4616666666666
30.44,2.92,365.2,1.69,3893.482
30.48,3.0,367.9,1.685,3908.049
30.51,2.98,370.7,1.68,3922.616
30.48,2.9,373.3,1.675,3937.183
30.51,3.0,376.1,1.6766666666666667,3966.0403333333334
30.61,2.99,378.4,1.6783333333333332,3994.8976666666667
30.69,3.02,381.1,1.68,4023.755
30.75,3.49,383.6,1.6773333333333333,4032.5523333333335
30.72,3.48,386.0,1.6746666666666665,4041.3496666666665
30.75,3.5,388.3,1.672,4050.147
30.78,3.48,391.5,1.6763333333333332,4078.6156666666666
30.88,3.38,393.2,1.6806666666666668,4107.084333333333
30.94,3.48,395.2,1.685,4135.553
30.91,3.48,397.6,1.683,4150.566
30.94,3.43,399.8,1.681,4165.579
30.95,3.47,401.7,1.679,4180.592
30.98,3.5,404.2,1.6773333333333333,4202.367333333333
31.01,3.5,407.1,1.6756666666666666,4224.142666666667
31.02,3.42,410.1,1.674,4245.918
31.05,3.5,413.4,1.667,4250.294
31.08,3.45,416.9,1.66,4254.67
31.12,3.36,419.1,1.653,4259.046
31.21,3.52,422.0,1.658,4293.401
31.25,3.85,424.7,1.663,4327.756
31.28,3.9,427.5,1.668,4362.111
31.28,3.98,430.4,1.6683333333333332,4380.482333333333
31.31,4.05,433.2,1.6686666666666667,4398.853666666667
31.38,4.09,435.4,1.669,4417.225
31.48,4.1,437.1,1.6726666666666667,4449.959
31.61,4.05,440.1,1.6763333333333332,4482.693
31.58,4.09,442.9,1.68,4515.427
31.55,4.12,445.8,1.6843333333333332,4550.103999999999
31.62,4.02,449.5,1.6886666666666668,4584.781
31.65,4.08,452.6,1.693,4619.458
31.75,4.1,455.7,1.6996666666666667,4656.934666666666
